concentration_g_L,eta0_mPa_s,eta_inf_mPa_s,tau_s,m,eta0_Pa_s,eta_inf_Pa_s,digitized_gamma_min_s_inv,digitized_gamma_max_s_inv,rms_relative_error_percent,max_relative_error_percent,graphical_points_count,eta_inf_at_zero_bound,source_pdf_paths
0.6,2.7339011408653784,0.0,8.718271844616559e-05,0.6704744256040879,0.0027339011408653783,0.0,4.210543906345235,999.9991415973846,0.29514110401099214,0.5841235123547062,450,True,944
1.5,3.79467985850375,0.0,0.00012444834574846275,0.8567841612294176,0.00379467985850375,0.0,5.6405674115041,999.9991415973846,0.29443446958992475,0.6283249389846368,426,True,945
3,5.911775102066879,4.111304837350772,0.0008155060688281597,1.2660047986805527,0.0059117751020668794,0.004111304837350773,5.6405674115041,999.9991415973846,0.280714545949541,0.6721166359506592,426,False,946
4,8.015985096079042,5.911758256035854,0.0010700771416069358,1.4220273479678198,0.008015985096079042,0.005911758256035854,4.210543906345235,999.9991415973846,0.35645037663611473,0.5626353324947098,450,False,947
5,9.640210020182806,4.098323423630524,0.00039949409760782104,0.9828852011403826,0.009640210020182807,0.004098323423630524,5.6405674115041,999.9991415973846,0.26482251464801654,0.5555024382090878,426,False,948
6,12.613856779374155,5.581576712623332,0.0004675604945257992,0.9694745764662459,0.012613856779374155,0.005581576712623332,5.6405674115041,999.9991415973846,0.26619053803045584,0.5168921240561897,426,False,949
7,23.355266761699014,0.0,0.00020913274421107198,0.5381658436128427,0.023355266761699012,0.0,13.234075612959126,999.9991415973846,0.2738373101022234,0.5185426847992503,356,True,958
8,29.280113971586793,0.0,0.0003037158496077687,0.4843320649851528,0.029280113971586794,0.0,4.210543906345235,999.9991415973846,0.2763595385964109,0.5290001467109784,450,True,959
9,20.50889004905355,7.30275512554601,0.0005887280218241232,0.9091586628011236,0.02050889004905355,0.00730275512554601,2.374987223692343,999.9991415973846,0.2619684936973152,0.5394860327660789,497,False,950
10,38.785264597759365,7.554860317562326,0.0006172318206365914,0.7617498098508049,0.03878526459775936,0.007554860317562326,35.93816872144108,999.9991415973846,0.2652589678240639,0.5311889556920857,274,False,951
11,57.37606678062777,1.973662078467655,0.0008376884308988845,0.5707757868930254,0.05737606678062777,0.0019736620784676553,13.234075612959126,999.9991415973846,0.2548001629771639,0.49920373406433516,356,False,962
12,46.4854189571935,12.318906695569403,0.001147634012534686,0.8230394619657622,0.046485418957193506,0.012318906695569403,0.9999994506222493,999.9991415973846,0.27008928573791235,0.5486085113232675,568,False,952
15,126.89114693851415,0.0,0.0011351023894144825,0.6165032067730422,0.12689114693851417,0.0,12.915529466825491,999.9991415973846,0.24973621946032398,0.4869018471875597,358,True,953
16,205.5019477073897,19.565195257145934,0.0037250138387934667,0.6553889581506798,0.2055019477073897,0.019565195257145934,3.593817242337312,999.9991415973846,0.24854966276471385,0.5020655494597293,463,False,954
20,285.0163176528107,38.87460787051307,0.005478784737612317,0.708404282646107,0.2850163176528107,0.03887460787051307,1.2915484233049899,999.9991415973846,0.26367093379933376,0.5526714527225085,547,False,955
31,3014.6142267279856,0.0,0.2670820194967938,0.3612073878225455,3.0146142267279856,0.0,0.0278256389269854,999.9991415973846,0.2943202430410046,0.6047381851981726,862,True,956;957
42,6203.153004585349,0.0,0.7723466584517205,0.35118938165701374,6.2031530045853485,0.0,0.05640568573555426,999.9991415973846,0.2871334917199944,0.5941573020726509,804,True,960;961
